accident_index,accident_severity
201501BS70001,3
201501BS70002,3
201501BS70004,3
201501BS70005,3
201501BS70008,2
201501BS70009,3
201501BS70010,3
201501BS70011,3
201501BS70012,3
201501BS70013,3
201501BS70014,3
201501BS70015,3
201501BS70016,3
201501BS70017,3
201501BS70018,3
201501BS70019,3
201501BS70020,3
201501BS70022,3
201501BS70023,3
201501BS70024,3
201501BS70026,2
201501BS70027,3
201501BS70029,3
201501BS70030,3
201501BS70033,3
201501BS70034,3
201501BS70035,3
201501BS70036,3
201501BS70037,3
201501BS70038,3
201501BS70039,3
201501BS70040,3
201501BS70042,3
201501BS70043,2
201501BS70044,3
201501BS70045,3
201501BS70046,3
201501BS70047,3
201501BS70048,3
201501BS70049,2
201501BS70050,3
201501BS70051,3
201501BS70052,3
201501BS70053,3
201501BS70055,3
201501BS70056,3
201501BS70057,3
201501BS70058,3
201501BS70060,3
201501BS70061,3
201501BS70062,2
201501BS70065,3
201501BS70066,3
201501BS70067,3
201501BS70068,3
201501BS70069,3
201501BS70070,3
201501BS70071,3
201501BS70072,3
201501BS70073,3
201501BS70074,3
201501BS70076,3
201501BS70077,3
201501BS70078,3
201501BS70080,3
201501BS70081,3
201501BS70082,3
201501BS70083,3
201501BS70085,3
201501BS70086,3
201501BS70087,3
201501BS70088,2
201501BS70089,3
201501BS70091,3
201501BS70092,2
201501BS70093,3
201501BS70094,3
201501BS70095,3
201501BS70096,3
201501BS70097,3
201501BS70098,3
201501BS70099,3
201501BS70100,3
201501BS70101,3
201501BS70102,2
201501BS70103,3
201501BS70104,3
201501BS70105,3
201501BS70106,3
201501BS70107,3
201501BS70108,3
201501BS70111,3
201501BS70112,3
201501BS70113,3
201501BS70114,3
201501BS70115,3
201501BS70116,3
201501BS70117,3
201501BS70118,3
201501BS70119,3
201501BS70120,2
201501BS70123,3
201501BS70124,2
201501BS70125,3
201501BS70126,2
201501BS70127,3
201501BS70129,3
201501BS70130,3
201501BS70131,3
201501BS70132,3
201501BS70134,3
201501BS70135,3
201501BS70136,3
201501BS70137,3
201501BS70138,3
201501BS70139,2
201501BS70140,2
201501BS70141,3
201501BS70142,3
201501BS70143,3
201501BS70144,2
201501BS70146,3
201501BS70148,3
201501BS70150,3
201501BS70151,2
201501BS70152,3
201501BS70153,3
201501BS70154,3
201501BS70155,3
201501BS70156,3
201501BS70158,3
201501BS70160,3
201501BS70162,3
201501BS70164,3
201501BS70166,3
201501BS70167,3
201501BS70168,3
201501BS70169,3
201501BS70170,3
201501BS70171,3
201501BS70172,3
201501BS70174,3
201501BS70175,3
201501BS70176,3
201501BS70177,3
201501BS70179,3
201501BS70180,3
201501BS70181,3
201501BS70183,3
201501BS70184,3
201501BS70185,3
201501BS70186,3
201501BS70187,3
201501BS70188,3
201501BS70189,3
201501BS70190,3
201501BS70191,3
201501BS70193,3
201501BS70194,3
201501BS70195,3
201501BS70196,3
201501BS70198,2
201501BS70199,3
201501BS70200,3
201501BS70201,3
201501BS70202,3
201501BS70203,3
201501BS70204,3
201501BS70205,3
201501BS70206,3
201501BS70207,3
201501BS70208,3
201501BS70210,3
201501BS70212,3
201501BS70213,3
201501BS70214,3
201501BS70216,3
201501BS70217,3
201501BS70219,3
201501BS70222,3
201501BS70223,3
201501BS70225,3
201501BS70226,3
201501BS70227,3
201501BS70230,3
201501BS70231,3
201501BS70232,3
201501BS70233,3
201501BS70234,3
201501BS70235,3
201501BS70236,3
201501BS70237,3
201501BS70238,3
201501BS70240,3
201501BS70241,3
201501BS70242,3
201501BS70243,3
201501BS70244,3
201501BS70245,3
201501BS70247,3
201501BS70248,3
201501BS70249,3
201501BS70250,3
